date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2/16/2021,2697.0 µmole,22.1 µmole,134.4 µmole,123.0 µmole,274.7 µmole,415.0 µmole,462.1 µmole,6.1 µmole
2/16/2021,2243.0 µmole,14.1 µmole,123.4 µmole,168.8 µmole,274.7 µmole,413.1 µmole,454.3 µmole,1.9 µmole
2/16/2021,2269.8 µmole,10.6 µmole,127.5 µmole,200.3 µmole,289.9 µmole,432.4 µmole,477.2 µmole,2.1 µmole
2/16/2021,2243.0 µmole,7.3 µmole,115.2 µmole,197.4 µmole,251.8 µmole,420.5 µmole,470.3 µmole,4.7 µmole
2/16/2021,2243.0 µmole,4.4 µmole,98.7 µmole,168.8 µmole,169.8 µmole,363.8 µmole,417.6 µmole,12.4 µmole
2/16/2021,2243.0 µmole,1.7 µmole,93.2 µmole,120.2 µmole,109.7 µmole,302.3 µmole,356.2 µmole,20.5 µmole
2/16/2021,4432.7 µmole,30.9 µmole,153.5 µmole,12.2 µmole,112.5 µmole,389.4 µmole,480.1 µmole,55.7 µmole
2/16/2021,7904.1 µmole,127.0 µmole,153.5 µmole,0.0 µmole,177.4 µmole,605.8 µmole,770.0 µmole,119.6 µmole
2/16/2021,10894.8 µmole,200.3 µmole,159.0 µmole,0.0 µmole,251.8 µmole,844.3 µmole,1086.7 µmole,180.4 µmole
2/16/2021,13031.0 µmole,239.6 µmole,168.6 µmole,0.0 µmole,305.2 µmole,1032.5 µmole,1326.9 µmole,222.9 µmole
2/16/2021,14526.4 µmole,275.4 µmole,168.6 µmole,0.0 µmole,335.7 µmole,1192.6 µmole,1527.9 µmole,249.3 µmole
2/16/2021,14099.1 µmole,275.4 µmole,146.7 µmole,0.0 µmole,297.6 µmole,1178.1 µmole,1505.8 µmole,218.9 µmole
2/16/2021,10894.8 µmole,202.1 µmole,111.0 µmole,0.0 µmole,137.3 µmole,959.8 µmole,1190.4 µmole,80.1 µmole
2/16/2021,7797.2 µmole,118.0 µmole,93.2 µmole,0.0 µmole,62.0 µmole,764.2 µmole,907.3 µmole,27.1 µmole
2/16/2021,5554.2 µmole,54.5 µmole,87.7 µmole,0.0 µmole,41.5 µmole,633.5 µmole,727.7 µmole,13.8 µmole
2/16/2021,3524.8 µmole,5.0 µmole,87.1 µmole,3.8 µmole,37.2 µmole,504.3 µmole,567.1 µmole,8.7 µmole
2/16/2021,3284.5 µmole,3.7 µmole,76.1 µmole,3.3 µmole,33.4 µmole,497.2 µmole,560.8 µmole,8.9 µmole
