date,co,no,no2,o3,so2,pm2_5,pm10,nh3
11/25/2020,2616.9 µmole,2.2 µmole,70.6 µmole,13.6 µmole,38.6 µmole,364.6 µmole,411.7 µmole,28.6 µmole
11/25/2020,3631.6 µmole,23.3 µmole,89.1 µmole,0.3 µmole,54.4 µmole,421.0 µmole,486.2 µmole,41.0 µmole
11/25/2020,4539.5 µmole,52.8 µmole,100.1 µmole,1.1 µmole,68.7 µmole,463.7 µmole,542.0 µmole,49.1 µmole
11/25/2020,4539.5 µmole,51.0 µmole,111.0 µmole,6.4 µmole,78.2 µmole,454.8 µmole,534.0 µmole,48.1 µmole
11/25/2020,4379.3 µmole,42.9 µmole,117.9 µmole,17.2 µmole,87.7 µmole,448.1 µmole,529.2 µmole,46.6 µmole
11/25/2020,3898.6 µmole,28.4 µmole,117.9 µmole,40.1 µmole,101.1 µmole,437.3 µmole,511.8 µmole,42.1 µmole
11/25/2020,1949.3 µmole,14.5 µmole,105.6 µmole,83.7 µmole,185.0 µmole,312.8 µmole,349.2 µmole,12.8 µmole
11/25/2020,1508.7 µmole,11.6 µmole,112.4 µmole,88.0 µmole,217.4 µmole,275.5 µmole,303.5 µmole,6.6 µmole
11/25/2020,1361.9 µmole,7.0 µmole,109.7 µmole,95.8 µmole,213.6 µmole,263.5 µmole,289.9 µmole,6.0 µmole
11/25/2020,1602.2 µmole,3.1 µmole,93.2 µmole,104.4 µmole,152.6 µmole,271.3 µmole,302.3 µmole,12.2 µmole
11/25/2020,2136.2 µmole,1.3 µmole,94.6 µmole,86.6 µmole,104.0 µmole,284.5 µmole,324.3 µmole,21.3 µmole
11/25/2020,2590.2 µmole,0.2 µmole,109.7 µmole,50.8 µmole,82.0 µmole,287.8 µmole,336.0 µmole,27.9 µmole
11/25/2020,3017.4 µmole,0.6 µmole,120.6 µmole,19.7 µmole,69.6 µmole,295.4 µmole,354.2 µmole,35.5 µmole
11/25/2020,3471.4 µmole,6.7 µmole,117.9 µmole,3.0 µmole,65.8 µmole,325.9 µmole,402.4 µmole,46.1 µmole
11/25/2020,3898.6 µmole,16.1 µmole,105.6 µmole,0.3 µmole,63.9 µmole,363.2 µmole,456.4 µmole,50.7 µmole
11/25/2020,4058.8 µmole,19.7 µmole,98.7 µmole,0.1 µmole,59.6 µmole,387.5 µmole,491.0 µmole,42.1 µmole
11/25/2020,3898.6 µmole,18.1 µmole,91.9 µmole,0.1 µmole,52.9 µmole,394.5 µmole,498.9 µmole,31.9 µmole
11/25/2020,3418.0 µmole,13.2 µmole,83.6 µmole,0.3 µmole,42.9 µmole,369.0 µmole,461.2 µmole,20.5 µmole
11/25/2020,2803.8 µmole,7.2 µmole,74.7 µmole,0.9 µmole,33.9 µmole,327.5 µmole,400.2 µmole,12.2 µmole
11/25/2020,2456.7 µmole,4.8 µmole,65.8 µmole,1.4 µmole,31.0 µmole,303.8 µmole,365.3 µmole,9.6 µmole
11/25/2020,2269.8 µmole,4.3 µmole,58.3 µmole,1.4 µmole,30.5 µmole,285.2 µmole,340.6 µmole,8.7 µmole
11/25/2020,2162.9 µmole,5.4 µmole,53.5 µmole,0.8 µmole,31.0 µmole,272.2 µmole,320.7 µmole,7.9 µmole
11/25/2020,2136.2 µmole,8.2 µmole,49.4 µmole,0.3 µmole,31.5 µmole,264.0 µmole,305.1 µmole,7.1 µmole
11/26/2020,2189.6 µmole,13.2 µmole,46.6 µmole,0.1 µmole,33.4 µmole,260.1 µmole,296.5 µmole,7.3 µmole
11/26/2020,2483.4 µmole,23.9 µmole,45.9 µmole,0.0 µmole,39.1 µmole,268.1 µmole,305.4 µmole,10.3 µmole
11/26/2020,3284.5 µmole,47.8 µmole,51.4 µmole,0.0 µmole,53.9 µmole,309.1 µmole,359.0 µmole,17.5 µmole
11/26/2020,3791.8 µmole,67.1 µmole,60.3 µmole,1.1 µmole,73.4 µmole,337.8 µmole,398.4 µmole,23.8 µmole
11/26/2020,3097.5 µmole,46.9 µmole,71.3 µmole,8.6 µmole,96.3 µmole,300.5 µmole,353.2 µmole,24.8 µmole
11/26/2020,2643.6 µmole,34.4 µmole,72.7 µmole,20.7 µmole,104.0 µmole,264.4 µmole,315.3 µmole,28.4 µmole
11/26/2020,2109.5 µmole,23.7 µmole,67.9 µmole,33.3 µmole,108.7 µmole,208.0 µmole,253.9 µmole,26.6 µmole
11/26/2020,1094.8 µmole,10.0 µmole,49.4 µmole,66.5 µmole,90.6 µmole,115.3 µmole,139.5 µmole,12.8 µmole
11/26/2020,894.6 µmole,7.5 µmole,42.5 µmole,82.3 µmole,83.9 µmole,92.8 µmole,111.6 µmole,10.1 µmole
11/26/2020,881.2 µmole,7.3 µmole,44.6 µmole,85.1 µmole,92.5 µmole,88.5 µmole,107.1 µmole,10.6 µmole
11/26/2020,1308.4 µmole,9.2 µmole,63.1 µmole,67.2 µmole,100.1 µmole,107.0 µmole,132.1 µmole,17.2 µmole
11/26/2020,2056.1 µmole,11.5 µmole,91.9 µmole,30.8 µmole,95.4 µmole,138.2 µmole,175.2 µmole,26.9 µmole
11/26/2020,2670.3 µmole,23.9 µmole,106.9 µmole,2.3 µmole,84.9 µmole,155.7 µmole,203.8 µmole,33.4 µmole
11/26/2020,3097.5 µmole,42.9 µmole,94.6 µmole,0.0 µmole,74.4 µmole,169.5 µmole,227.0 µmole,41.0 µmole
11/26/2020,3578.2 µmole,52.8 µmole,85.0 µmole,0.0 µmole,69.6 µmole,202.2 µmole,277.0 µmole,50.2 µmole
11/26/2020,3952.0 µmole,53.6 µmole,85.0 µmole,0.0 µmole,64.9 µmole,234.4 µmole,325.9 µmole,49.1 µmole
11/26/2020,4005.4 µmole,47.8 µmole,85.0 µmole,0.0 µmole,59.1 µmole,245.5 µmole,343.5 µmole,39.0 µmole
11/26/2020,3685.0 µmole,37.1 µmole,84.3 µmole,0.0 µmole,52.0 µmole,229.8 µmole,319.4 µmole,30.4 µmole
11/26/2020,2723.7 µmole,20.6 µmole,78.1 µmole,0.1 µmole,42.9 µmole,174.8 µmole,238.3 µmole,19.8 µmole
11/26/2020,1695.6 µmole,4.5 µmole,67.2 µmole,2.5 µmole,32.4 µmole,114.3 µmole,149.5 µmole,11.7 µmole
11/26/2020,1308.4 µmole,0.8 µmole,54.8 µmole,9.4 µmole,26.7 µmole,90.0 µmole,113.3 µmole,9.9 µmole
11/26/2020,1134.9 µmole,0.2 µmole,47.3 µmole,18.1 µmole,27.7 µmole,82.0 µmole,100.6 µmole,9.5 µmole
11/26/2020,974.7 µmole,0.0 µmole,39.8 µmole,31.1 µmole,29.6 µmole,77.1 µmole,92.1 µmole,9.0 µmole
11/26/2020,894.6 µmole,0.0 µmole,34.6 µmole,39.0 µmole,28.4 µmole,73.1 µmole,86.4 µmole,8.6 µmole
11/27/2020,894.6 µmole,0.0 µmole,33.6 µmole,39.0 µmole,28.1 µmole,71.2 µmole,84.0 µmole,8.6 µmole
11/27/2020,1068.1 µmole,0.2 µmole,40.4 µmole,28.6 µmole,32.4 µmole,77.7 µmole,93.5 µmole,10.4 µmole
11/27/2020,1442.0 µmole,2.7 µmole,55.5 µmole,10.0 µmole,40.5 µmole,93.9 µmole,117.2 µmole,15.0 µmole
11/27/2020,1668.9 µmole,15.4 µmole,53.5 µmole,11.4 µmole,47.2 µmole,100.7 µmole,128.9 µmole,18.0 µmole
11/27/2020,1709.0 µmole,23.5 µmole,47.3 µmole,24.0 µmole,54.8 µmole,101.9 µmole,132.2 µmole,20.8 µmole
11/27/2020,1655.6 µmole,22.4 µmole,45.9 µmole,37.9 µmole,62.0 µmole,102.5 µmole,134.2 µmole,23.6 µmole
11/27/2020,1455.3 µmole,17.0 µmole,45.2 µmole,57.9 µmole,66.8 µmole,96.2 µmole,124.6 µmole,22.3 µmole
11/27/2020,948.0 µmole,8.4 µmole,33.2 µmole,89.4 µmole,54.8 µmole,65.0 µmole,82.8 µmole,14.6 µmole
11/27/2020,814.4 µmole,5.8 µmole,29.1 µmole,107.3 µmole,48.2 µmole,60.2 µmole,75.2 µmole,13.1 µmole
11/27/2020,814.4 µmole,4.7 µmole,30.5 µmole,117.3 µmole,49.1 µmole,66.7 µmole,81.9 µmole,14.1 µmole
11/27/2020,1148.2 µmole,5.5 µmole,45.9 µmole,107.3 µmole,52.9 µmole,84.8 µmole,105.4 µmole,19.0 µmole
11/27/2020,1655.6 µmole,5.6 µmole,72.7 µmole,75.1 µmole,53.9 µmole,105.8 µmole,134.3 µmole,24.6 µmole
11/27/2020,2082.8 µmole,1.7 µmole,104.2 µmole,30.4 µmole,51.0 µmole,118.2 µmole,151.3 µmole,28.9 µmole
11/27/2020,2403.3 µmole,2.7 µmole,112.4 µmole,7.1 µmole,50.1 µmole,135.6 µmole,173.8 µmole,34.5 µmole
11/27/2020,2510.1 µmole,2.2 µmole,101.5 µmole,8.0 µmole,49.6 µmole,154.5 µmole,198.7 µmole,39.5 µmole
11/27/2020,2376.6 µmole,0.4 µmole,87.1 µmole,19.0 µmole,45.8 µmole,163.4 µmole,209.6 µmole,41.0 µmole
11/27/2020,2296.5 µmole,0.1 µmole,76.8 µmole,26.8 µmole,42.4 µmole,169.2 µmole,215.3 µmole,38.5 µmole
11/27/2020,2349.9 µmole,0.1 µmole,75.4 µmole,24.0 µmole,40.5 µmole,179.3 µmole,227.3 µmole,32.9 µmole
11/27/2020,2189.6 µmole,0.2 µmole,72.0 µmole,21.8 µmole,34.3 µmole,174.8 µmole,219.0 µmole,23.3 µmole
11/27/2020,1789.1 µmole,0.1 µmole,59.0 µmole,28.3 µmole,25.0 µmole,150.4 µmole,183.0 µmole,13.9 µmole
11/27/2020,1401.9 µmole,0.0 µmole,41.5 µmole,40.1 µmole,18.6 µmole,133.0 µmole,156.5 µmole,9.8 µmole
11/27/2020,1228.3 µmole,0.0 µmole,32.6 µmole,45.8 µmole,16.5 µmole,126.1 µmole,145.0 µmole,7.8 µmole
11/27/2020,1161.6 µmole,0.0 µmole,28.1 µmole,47.9 µmole,15.5 µmole,124.3 µmole,140.4 µmole,6.6 µmole
11/27/2020,1148.2 µmole,0.0 µmole,26.1 µmole,50.1 µmole,15.5 µmole,126.4 µmole,140.9 µmole,6.2 µmole
11/28/2020,1188.3 µmole,0.0 µmole,26.4 µmole,52.2 µmole,17.4 µmole,137.0 µmole,151.5 µmole,6.5 µmole
11/28/2020,1348.5 µmole,0.0 µmole,32.2 µmole,51.5 µmole,22.9 µmole,158.2 µmole,176.2 µmole,8.4 µmole
11/28/2020,1695.6 µmole,0.1 µmole,47.3 µmole,37.9 µmole,31.5 µmole,185.6 µmole,211.5 µmole,12.4 µmole
11/28/2020,1895.9 µmole,4.4 µmole,53.5 µmole,32.2 µmole,38.6 µmole,197.8 µmole,228.2 µmole,15.7 µmole
11/28/2020,1869.2 µmole,10.2 µmole,45.9 µmole,47.9 µmole,46.3 µmole,192.5 µmole,222.4 µmole,18.5 µmole
11/28/2020,1762.4 µmole,10.2 µmole,42.2 µmole,71.5 µmole,52.9 µmole,186.5 µmole,215.4 µmole,20.3 µmole
11/28/2020,1588.8 µmole,7.3 µmole,37.7 µmole,105.9 µmole,58.2 µmole,174.6 µmole,199.4 µmole,19.0 µmole
11/28/2020,1041.4 µmole,3.6 µmole,23.7 µmole,140.2 µmole,47.2 µmole,110.3 µmole,124.4 µmole,11.7 µmole
11/28/2020,867.8 µmole,2.6 µmole,19.7 µmole,154.5 µmole,41.5 µmole,92.8 µmole,103.9 µmole,10.3 µmole
11/28/2020,867.8 µmole,2.2 µmole,20.7 µmole,165.9 µmole,44.8 µmole,96.9 µmole,108.0 µmole,11.2 µmole
11/28/2020,1735.7 µmole,6.3 µmole,59.0 µmole,123.0 µmole,54.4 µmole,140.5 µmole,166.2 µmole,20.5 µmole
11/28/2020,3124.2 µmole,14.8 µmole,116.5 µmole,49.4 µmole,61.0 µmole,204.2 µmole,250.8 µmole,30.7 µmole
11/28/2020,4272.5 µmole,42.0 µmole,148.1 µmole,3.2 µmole,62.9 µmole,251.1 µmole,312.6 µmole,38.5 µmole
11/28/2020,5340.6 µmole,76.0 µmole,150.8 µmole,0.0 µmole,66.8 µmole,306.0 µmole,382.3 µmole,49.1 µmole
11/28/2020,5767.8 µmole,68.8 µmole,150.8 µmole,0.0 µmole,67.7 µmole,351.5 µmole,440.0 µmole,55.7 µmole
11/28/2020,5073.6 µmole,33.1 µmole,142.6 µmole,0.2 µmole,59.6 µmole,341.9 µmole,424.8 µmole,51.7 µmole
11/28/2020,3791.8 µmole,2.2 µmole,119.3 µmole,8.4 µmole,50.6 µmole,284.1 µmole,347.4 µmole,42.6 µmole
11/28/2020,3524.8 µmole,0.7 µmole,102.8 µmole,13.1 µmole,45.3 µmole,274.9 µmole,335.4 µmole,40.0 µmole
11/28/2020,3124.2 µmole,0.6 µmole,90.5 µmole,14.1 µmole,35.3 µmole,248.7 µmole,299.9 µmole,32.2 µmole
11/28/2020,2456.7 µmole,0.2 µmole,72.0 µmole,20.2 µmole,23.8 µmole,201.7 µmole,238.1 µmole,20.8 µmole
11/28/2020,2002.7 µmole,0.0 µmole,56.2 µmole,26.1 µmole,19.1 µmole,172.1 µmole,199.1 µmole,14.8 µmole
11/28/2020,1735.7 µmole,0.0 µmole,47.3 µmole,28.6 µmole,16.9 µmole,156.8 µmole,179.3 µmole,10.9 µmole
11/28/2020,1562.1 µmole,0.0 µmole,40.1 µmole,31.1 µmole,16.0 µmole,145.5 µmole,164.6 µmole,8.1 µmole
11/28/2020,1428.6 µmole,0.0 µmole,36.0 µmole,31.8 µmole,15.7 µmole,138.3 µmole,155.3 µmole,6.1 µmole
11/29/2020,1321.8 µmole,0.0 µmole,34.6 µmole,33.3 µmole,16.2 µmole,134.5 µmole,150.7 µmole,5.1 µmole
11/29/2020,1428.6 µmole,0.2 µmole,42.2 µmole,28.3 µmole,20.5 µmole,144.8 µmole,164.1 µmole,6.3 µmole
11/29/2020,1895.9 µmole,3.6 µmole,63.1 µmole,10.0 µmole,30.5 µmole,175.8 µmole,205.5 µmole,11.0 µmole
11/29/2020,2430.0 µmole,21.2 µmole,67.9 µmole,9.3 µmole,40.1 µmole,205.1 µmole,244.4 µmole,16.2 µmole
11/29/2020,2830.5 µmole,35.3 µmole,69.2 µmole,21.5 µmole,50.6 µmole,229.8 µmole,276.1 µmole,22.6 µmole
11/29/2020,3150.9 µmole,34.9 µmole,79.5 µmole,40.4 µmole,64.9 µmole,258.8 µmole,311.0 µmole,28.9 µmole
11/29/2020,3150.9 µmole,23.7 µmole,87.1 µmole,78.0 µmole,82.0 µmole,277.2 µmole,329.2 µmole,29.4 µmole
11/29/2020,1428.6 µmole,6.9 µmole,44.6 µmole,141.6 µmole,75.3 µmole,152.3 µmole,174.9 µmole,11.3 µmole
11/29/2020,1148.2 µmole,4.6 µmole,35.6 µmole,160.2 µmole,66.8 µmole,133.3 µmole,152.3 µmole,8.7 µmole
11/29/2020,1121.5 µmole,3.7 µmole,36.7 µmole,170.2 µmole,69.6 µmole,131.2 µmole,150.3 µmole,9.3 µmole
11/29/2020,2296.5 µmole,11.0 µmole,87.1 µmole,107.3 µmole,77.3 µmole,187.6 µmole,226.9 µmole,23.1 µmole
11/29/2020,4112.2 µmole,31.7 µmole,150.8 µmole,31.1 µmole,84.9 µmole,274.9 µmole,343.0 µmole,39.5 µmole
11/29/2020,5714.4 µmole,83.2 µmole,175.5 µmole,1.6 µmole,99.2 µmole,336.9 µmole,425.5 µmole,57.3 µmole
11/29/2020,7156.4 µmole,132.3 µmole,181.0 µmole,0.0 µmole,125.9 µmole,404.5 µmole,513.6 µmole,84.1 µmole
11/29/2020,8117.7 µmole,152.0 µmole,178.2 µmole,0.0 µmole,143.1 µmole,478.4 µmole,610.8 µmole,107.4 µmole
11/29/2020,8331.3 µmole,150.2 µmole,157.7 µmole,0.0 µmole,137.3 µmole,524.8 µmole,672.2 µmole,114.5 µmole
11/29/2020,8331.3 µmole,146.6 µmole,134.4 µmole,0.0 µmole,125.9 µmole,558.5 µmole,709.6 µmole,110.5 µmole
11/29/2020,8438.1 µmole,146.6 µmole,119.3 µmole,0.0 µmole,125.9 µmole,592.9 µmole,747.8 µmole,112.5 µmole
11/29/2020,8224.5 µmole,143.1 µmole,109.7 µmole,0.0 µmole,118.3 µmole,586.2 µmole,733.6 µmole,105.4 µmole
11/29/2020,7263.2 µmole,127.0 µmole,98.7 µmole,0.0 µmole,94.4 µmole,519.9 µmole,641.2 µmole,81.1 µmole
11/29/2020,6248.5 µmole,108.2 µmole,86.4 µmole,0.0 µmole,74.4 µmole,463.9 µmole,562.8 µmole,56.7 µmole
11/29/2020,5447.4 µmole,88.5 µmole,76.1 µmole,0.0 µmole,58.7 µmole,419.4 µmole,502.5 µmole,39.0 µmole
11/29/2020,4699.7 µmole,68.8 µmole,70.6 µmole,0.0 µmole,47.2 µmole,377.6 µmole,449.6 µmole,29.6 µmole
11/29/2020,4112.2 µmole,54.1 µmole,69.2 µmole,0.0 µmole,38.2 µmole,337.0 µmole,399.7 µmole,24.3 µmole
11/30/2020,3631.6 µmole,47.4 µmole,69.2 µmole,0.0 µmole,31.5 µmole,303.6 µmole,359.0 µmole,19.3 µmole
11/30/2020,3418.0 µmole,46.5 µmole,70.6 µmole,0.0 µmole,36.7 µmole,279.1 µmole,329.9 µmole,25.1 µmole
11/30/2020,4432.7 µmole,80.5 µmole,74.7 µmole,0.0 µmole,52.0 µmole,338.5 µmole,408.0 µmole,36.5 µmole
11/30/2020,5554.2 µmole,125.2 µmole,74.7 µmole,1.5 µmole,64.9 µmole,393.8 µmole,479.0 µmole,47.1 µmole
11/30/2020,5821.2 µmole,125.2 µmole,87.7 µmole,7.2 µmole,76.3 µmole,406.6 µmole,494.6 µmole,54.2 µmole
11/30/2020,5874.6 µmole,90.3 µmole,123.4 µmole,23.3 µmole,90.6 µmole,434.3 µmole,525.9 µmole,58.8 µmole
11/30/2020,5607.6 µmole,43.4 µmole,153.5 µmole,73.7 µmole,104.0 µmole,460.3 µmole,549.0 µmole,53.7 µmole
11/30/2020,1976.0 µmole,8.2 µmole,65.1 µmole,164.5 µmole,97.3 µmole,196.5 µmole,226.3 µmole,20.8 µmole
11/30/2020,1495.4 µmole,4.7 µmole,45.9 µmole,188.8 µmole,84.9 µmole,165.4 µmole,187.6 µmole,15.1 µmole
11/30/2020,1388.6 µmole,3.4 µmole,42.8 µmole,200.3 µmole,83.9 µmole,158.8 µmole,178.9 µmole,14.2 µmole
11/30/2020,2643.6 µmole,8.7 µmole,100.1 µmole,134.5 µmole,91.6 µmole,221.9 µmole,263.9 µmole,28.4 µmole
11/30/2020,4806.5 µmole,27.7 µmole,181.0 µmole,39.3 µmole,96.3 µmole,326.7 µmole,403.1 µmole,45.1 µmole
11/30/2020,6675.7 µmole,85.8 µmole,205.6 µmole,1.8 µmole,97.3 µmole,403.0 µmole,504.6 µmole,57.8 µmole
11/30/2020,8331.3 µmole,143.1 µmole,200.2 µmole,0.0 µmole,106.8 µmole,483.3 µmole,610.1 µmole,76.0 µmole
11/30/2020,9292.6 µmole,157.4 µmole,181.0 µmole,0.0 µmole,107.8 µmole,563.6 µmole,718.4 µmole,90.2 µmole
11/30/2020,9292.6 µmole,146.6 µmole,156.3 µmole,0.0 µmole,97.3 µmole,613.4 µmole,784.9 µmole,91.2 µmole
11/30/2020,9292.6 µmole,134.1 µmole,137.1 µmole,0.0 µmole,84.9 µmole,656.5 µmole,833.6 µmole,74.0 µmole
11/30/2020,9399.4 µmole,135.9 µmole,120.6 µmole,0.0 µmole,78.2 µmole,703.3 µmole,887.8 µmole,57.3 µmole
11/30/2020,8758.6 µmole,128.8 µmole,102.8 µmole,0.0 µmole,62.0 µmole,669.4 µmole,844.6 µmole,37.5 µmole
11/30/2020,7049.6 µmole,106.4 µmole,87.7 µmole,0.0 µmole,42.0 µmole,557.4 µmole,699.1 µmole,20.0 µmole
11/30/2020,5767.8 µmole,83.2 µmole,74.7 µmole,0.0 µmole,34.8 µmole,475.7 µmole,585.6 µmole,14.6 µmole
11/30/2020,4966.7 µmole,67.1 µmole,64.4 µmole,0.0 µmole,32.4 µmole,426.3 µmole,516.7 µmole,13.1 µmole
11/30/2020,4379.3 µmole,55.4 µmole,57.6 µmole,0.0 µmole,31.5 µmole,390.6 µmole,468.0 µmole,12.2 µmole
11/30/2020,3952.0 µmole,46.1 µmole,53.5 µmole,0.0 µmole,29.6 µmole,361.6 µmole,426.9 µmole,10.8 µmole
12/1/2020,3631.6 µmole,41.6 µmole,51.4 µmole,0.0 µmole,29.6 µmole,338.1 µmole,394.1 µmole,10.5 µmole
12/1/2020,3524.8 µmole,43.4 µmole,54.8 µmole,0.0 µmole,36.7 µmole,328.7 µmole,381.0 µmole,13.8 µmole
12/1/2020,4539.5 µmole,76.9 µmole,61.7 µmole,0.0 µmole,52.0 µmole,387.8 µmole,458.7 µmole,21.5 µmole
12/1/2020,5554.2 µmole,119.8 µmole,65.1 µmole,0.9 µmole,63.9 µmole,438.3 µmole,523.2 µmole,27.9 µmole
12/1/2020,5714.4 µmole,119.8 µmole,80.9 µmole,5.7 µmole,74.4 µmole,454.6 µmole,542.2 µmole,34.0 µmole
12/1/2020,5821.2 µmole,90.3 µmole,117.9 µmole,20.2 µmole,88.7 µmole,486.4 µmole,576.8 µmole,43.6 µmole
12/1/2020,5821.2 µmole,44.7 µmole,154.9 µmole,68.0 µmole,104.9 µmole,530.1 µmole,618.7 µmole,43.6 µmole
12/1/2020,2403.3 µmole,7.0 µmole,72.7 µmole,200.3 µmole,122.1 µmole,303.8 µmole,336.7 µmole,18.8 µmole
12/1/2020,1895.9 µmole,3.9 µmole,50.0 µmole,231.7 µmole,99.2 µmole,255.2 µmole,280.9 µmole,14.7 µmole
12/1/2020,1762.4 µmole,2.6 µmole,42.5 µmole,248.9 µmole,89.7 µmole,239.9 µmole,263.1 µmole,14.6 µmole
12/1/2020,3097.5 µmole,7.0 µmole,105.6 µmole,161.7 µmole,91.6 µmole,313.5 µmole,359.5 µmole,29.6 µmole
12/1/2020,5287.2 µmole,21.5 µmole,191.9 µmole,45.4 µmole,95.4 µmole,431.1 µmole,510.6 µmole,46.1 µmole
12/1/2020,7263.2 µmole,79.6 µmole,216.6 µmole,1.4 µmole,102.0 µmole,512.8 µmole,618.3 µmole,61.3 µmole
12/1/2020,9079.0 µmole,139.5 µmole,216.6 µmole,0.0 µmole,119.2 µmole,605.1 µmole,739.6 µmole,84.1 µmole
12/1/2020,10147.1 µmole,150.2 µmole,213.9 µmole,0.0 µmole,117.3 µmole,700.4 µmole,866.5 µmole,97.3 µmole
12/1/2020,10040.3 µmole,130.5 µmole,197.4 µmole,0.0 µmole,97.3 µmole,752.7 µmole,937.4 µmole,88.2 µmole
12/1/2020,9613.0 µmole,107.3 µmole,178.2 µmole,0.0 µmole,80.1 µmole,781.0 µmole,967.6 µmole,61.3 µmole
12/1/2020,9399.4 µmole,101.0 µmole,157.7 µmole,0.0 µmole,71.5 µmole,816.2 µmole,1004.6 µmole,44.6 µmole
12/1/2020,8651.7 µmole,93.0 µmole,137.1 µmole,0.0 µmole,57.7 µmole,791.4 µmole,966.7 µmole,29.6 µmole
12/1/2020,7156.4 µmole,73.3 µmole,115.2 µmole,0.0 µmole,40.5 µmole,708.4 µmole,848.4 µmole,16.7 µmole
12/1/2020,6088.3 µmole,55.4 µmole,97.3 µmole,0.0 µmole,33.9 µmole,656.1 µmole,767.2 µmole,12.7 µmole
12/1/2020,5447.4 µmole,46.1 µmole,79.5 µmole,0.0 µmole,31.0 µmole,625.1 µmole,717.6 µmole,11.2 µmole
12/1/2020,4913.3 µmole,38.5 µmole,66.5 µmole,0.0 µmole,28.4 µmole,597.6 µmole,677.0 µmole,10.0 µmole
12/1/2020,4486.1 µmole,33.1 µmole,58.3 µmole,0.0 µmole,25.8 µmole,571.3 µmole,638.6 µmole,8.4 µmole
12/2/2020,4219.1 µmole,30.0 µmole,56.2 µmole,0.0 µmole,25.3 µmole,546.3 µmole,602.5 µmole,8.1 µmole
12/2/2020,4165.7 µmole,32.6 µmole,59.0 µmole,0.0 µmole,32.0 µmole,527.6 µmole,579.6 µmole,11.8 µmole
12/2/2020,4966.7 µmole,61.7 µmole,65.1 µmole,0.0 µmole,44.4 µmole,560.7 µmole,628.1 µmole,17.7 µmole
12/2/2020,5447.4 µmole,86.7 µmole,71.3 µmole,1.2 µmole,50.6 µmole,563.4 µmole,637.2 µmole,20.8 µmole
12/2/2020,4486.1 µmole,45.2 µmole,97.3 µmole,16.1 µmole,56.3 µmole,486.1 µmole,546.9 µmole,22.3 µmole
12/2/2020,4219.1 µmole,28.6 µmole,101.5 µmole,47.9 µmole,65.8 µmole,476.1 µmole,536.0 µmole,28.1 µmole
12/2/2020,3791.8 µmole,15.2 µmole,93.2 µmole,104.4 µmole,76.3 µmole,457.1 µmole,511.4 µmole,28.4 µmole
12/2/2020,1762.4 µmole,2.9 µmole,35.0 µmole,217.4 µmole,74.4 µmole,278.1 µmole,299.3 µmole,11.7 µmole
12/2/2020,1415.3 µmole,1.9 µmole,25.4 µmole,223.2 µmole,62.9 µmole,225.2 µmole,241.9 µmole,10.6 µmole
12/2/2020,1295.1 µmole,1.7 µmole,25.0 µmole,217.4 µmole,60.1 µmole,197.6 µmole,212.9 µmole,11.4 µmole
12/2/2020,1655.6 µmole,2.5 µmole,47.3 µmole,183.1 µmole,65.8 µmole,203.9 µmole,226.0 µmole,17.2 µmole
12/2/2020,2349.9 µmole,2.7 µmole,87.7 µmole,121.6 µmole,69.6 µmole,227.7 µmole,260.8 µmole,24.6 µmole
12/2/2020,2964.0 µmole,0.6 µmole,130.2 µmole,53.6 µmole,68.7 µmole,243.3 µmole,284.8 µmole,30.7 µmole
12/2/2020,3524.8 µmole,1.4 µmole,152.2 µmole,12.2 µmole,68.7 µmole,268.8 µmole,319.8 µmole,37.5 µmole
12/2/2020,3685.0 µmole,2.5 µmole,139.8 µmole,7.2 µmole,66.8 µmole,292.1 µmole,352.4 µmole,44.1 µmole
12/2/2020,3524.8 µmole,1.0 µmole,120.6 µmole,12.9 µmole,59.1 µmole,292.5 µmole,355.1 µmole,45.6 µmole
12/2/2020,3364.6 µmole,0.5 µmole,105.6 µmole,16.3 µmole,51.5 µmole,283.6 µmole,346.1 µmole,44.6 µmole
12/2/2020,3311.2 µmole,0.9 µmole,100.1 µmole,12.3 µmole,46.3 µmole,281.3 µmole,343.9 µmole,41.0 µmole
12/2/2020,3044.1 µmole,1.1 µmole,91.9 µmole,10.2 µmole,37.7 µmole,260.8 µmole,316.5 µmole,29.1 µmole
12/2/2020,2483.4 µmole,0.4 µmole,76.1 µmole,14.8 µmole,27.9 µmole,223.1 µmole,264.9 µmole,17.0 µmole
12/2/2020,2109.5 µmole,0.1 µmole,61.0 µmole,20.7 µmole,24.6 µmole,205.3 µmole,239.3 µmole,11.7 µmole
12/2/2020,1922.6 µmole,0.1 µmole,52.1 µmole,23.6 µmole,23.8 µmole,205.5 µmole,236.2 µmole,8.7 µmole
12/2/2020,1842.5 µmole,0.1 µmole,46.6 µmole,23.3 µmole,23.8 µmole,215.2 µmole,244.2 µmole,7.0 µmole
12/2/2020,1815.8 µmole,0.2 µmole,45.2 µmole,18.2 µmole,23.8 µmole,230.3 µmole,259.2 µmole,6.3 µmole
12/3/2020,1869.2 µmole,1.4 µmole,48.0 µmole,9.1 µmole,25.5 µmole,252.4 µmole,282.8 µmole,6.3 µmole
12/3/2020,2296.5 µmole,13.5 µmole,51.4 µmole,0.9 µmole,32.9 µmole,293.6 µmole,332.1 µmole,9.4 µmole
12/3/2020,3284.5 µmole,49.6 µmole,52.8 µmole,0.0 µmole,47.2 µmole,363.0 µmole,421.2 µmole,15.7 µmole
